Date,Day,Time_Slot,In_Delta,Out_Delta,Visit_Count,Floating_Population,Unique_Total
2026.4.6,Monday,16:26,20,16,36,13,45
2026.4.6,Monday,16:27,8,9,17,12,52
2026.4.6,Monday,16:28,4,4,8,17,63
2026.4.6,Monday,16:29,3,1,4,13,73
2026.4.6,Monday,16:30,9,4,13,12,78
2026.4.6,Monday,16:31,0,1,1,14,88
2026.4.6,Monday,16:32,11,11,22,13,95
2026.4.6,Monday,16:33,7,6,13,7,99
2026.4.6,Monday,16:34,9,8,17,6,102
2026.4.6,Monday,16:35,11,7,18,12,112
2026.4.6,Monday,16:36,2,0,2,8,114
2026.4.6,Monday,16:37,2,1,3,12,124
2026.4.6,Monday,16:38,7,6,13,13,130
2026.4.6,Monday,16:39,6,7,13,14,138
2026.4.6,Monday,16:40,3,7,10,9,143
2026.4.6,Monday,16:41,8,5,13,7,145
2026.4.6,Monday,16:42,2,1,3,5,150
2026.4.6,Monday,16:43,6,3,9,13,159
2026.4.6,Monday,16:44,1,1,2,9,166
2026.4.6,Monday,16:45,5,4,9,12,173
2026.4.6,Monday,16:46,6,4,10,8,178
2026.4.6,Monday,16:47,2,1,3,5,181
2026.4.6,Monday,16:48,6,5,11,10,187
2026.4.6,Monday,16:49,7,7,14,9,193
2026.4.6,Monday,16:50,12,11,23,7,199
2026.4.7,Tuesday,16:24,18,7,25,16,16
2026.4.7,Tuesday,16:25,7,9,16,20,27
2026.4.7,Tuesday,16:26,12,8,20,16,31
2026.4.7,Tuesday,16:27,5,5,10,16,45
2026.4.7,Tuesday,16:28,11,4,15,14,48
2026.4.7,Tuesday,16:29,10,4,14,12,57
2026.4.7,Tuesday,16:30,8,3,11,12,62
2026.4.7,Tuesday,16:31,6,3,9,12,71
2026.4.7,Tuesday,16:32,0,0,0,9,76
2026.4.7,Tuesday,16:33,25,21,46,12,87
2026.4.7,Tuesday,16:34,4,3,7,16,92
2026.4.7,Tuesday,16:35,0,1,1,13,98
2026.4.7,Tuesday,16:36,2,3,5,9,102
2026.4.7,Tuesday,16:37,3,2,5,13,110
2026.4.7,Tuesday,16:38,7,8,15,14,119
2026.4.7,Tuesday,16:39,4,2,6,11,124
2026.4.7,Tuesday,16:40,0,0,0,11,133
2026.4.7,Tuesday,16:41,6,4,10,12,138
2026.4.7,Tuesday,16:42,3,3,6,11,147
2026.4.7,Tuesday,16:43,8,6,14,9,152
2026.4.7,Tuesday,16:44,8,10,18,13,162
2026.4.7,Tuesday,16:45,3,3,6,14,168
2026.4.7,Tuesday,16:46,0,0,0,16,178
2026.4.7,Tuesday,16:47,4,3,7,12,184
2026.4.7,Tuesday,16:48,7,5,12,13,194
2026.4.7,Tuesday,16:49,3,2,5,14,201
2026.4.7,Tuesday,16:50,4,3,7,10,204
2026.4.7,Tuesday,16:51,0,1,1,10,211
2026.4.7,Tuesday,16:52,2,4,6,12,220
2026.4.7,Tuesday,16:53,2,2,4,9,224
2026.4.7,Tuesday,16:54,9,5,14,8,230
2026.4.7,Tuesday,16:55,1,2,3,13,240
2026.4.7,Tuesday,16:56,5,3,8,10,244
2026.4.7,Tuesday,16:57,16,19,35,13,253
2026.4.7,Tuesday,16:58,0,1,1,14,262
2026.4.7,Tuesday,16:59,2,2,4,16,271
